OP_NOMBRE,idBudget,maxBudget,typologyBudget,yearBudget,stateBudget,stateBudgetName
23384_CPPLAZADELABEATAMARIAANA14,23384,639304.92,ENVOLVENTE,2023,2,EN ESTUDIO
23382_CPVALMOJADO163,23382,1077809.67,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23373_CPLAVAPIES36,23373,98999.84,REHABILITACION,2023,3,ENTREGADO - ACTIVO
23371_CPBERASTEGUI1,23371,107544.97,REHABILITACION,2023,3,ENTREGADO - ACTIVO
23369_JLL,23369,335220.18,REHABILITACION,2023,3,ENTREGADO - ACTIVO
23368_CPVALLEHERMOSO112,23368,604519.49,ENVOLVENTE,2023,7,PROCESO CONTRATACION
23367_CPBENITOGUTIÉRREZ30,23367,482601.05,ENVOLVENTE,2023,4,ENTREGADO - INACTIVO
23364_EMPTY,23364,327710.63,FACHADA,2023,9,DESCARTADO
23361_IMPACTHOMES,23361,916595.13,REHABILITACION,2023,3,ENTREGADO - ACTIVO
23359_CPMAQUEDA99,23359,203785.30,ENVOLVENTE,2023,4,ENTREGADO - INACTIVO
23357_CPCARRANZA18,23357,125830.75,FACHADA,2023,3,ENTREGADO - ACTIVO
23356_CPARENAL3,23356,147877.21,FACHADA,2023,3,ENTREGADO - ACTIVO
23355_CPVILLACHURRIANA10,23355,154399.49,ENVOLVENTE,2023,8,CONTRATADO
23354_CPAVENIDASEGUNDA1,23354,706062.62,ENVOLVENTE,2023,4,ENTREGADO - INACTIVO
23353_CPABATXOLO21,23353,1653974.34,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23352_CPISLASBERMUDAS19,23352,139551.70,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23351_CPBIZKERREBLOQUE1-3,23351,3627767.00,FACHADA,2023,3,ENTREGADO - ACTIVO
23350_BELTÉCNICACONSTRUCTORA,23350,9390.00,FACHADA,2023,8,CONTRATADO
23349_DIRECCIÓNCOLECCIONESREALES,23349,14973.77,PATRIMONIO,2023,3,ENTREGADO - ACTIVO
23348_CPBRIANDADEMENDOZAYLUNA6,23348,418174.44,ENVOLVENTE,2023,11,NO ADJUDICADO
23347_CPKARLMARX11,23347,667387.45,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23346_CPCAMILOVILLABASO18,23346,344648.05,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23345_CPIMPALA7,23345,207405.04,ENVOLVENTE,2023,11,NO ADJUDICADO
23343_CPSIPIRI12-14RIPA2ZALBIDENE1BENTATXU1-3,23343,179955.79,FACHADA,2023,3,ENTREGADO - ACTIVO
23342_CPMANUELCALVO12,23342,307145.74,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23341_CPLACOMA6,23341,154841.47,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23340_CPAVENIDADEOPORTO5,23340,197805.54,ENVOLVENTE,2023,4,ENTREGADO - INACTIVO
23339_CPVIALUSITANA38,23339,214368.72,ENVOLVENTE,2023,7,PROCESO CONTRATACION
23337_PROPIEDAD,23337,435773.40,FACHADA,2023,3,ENTREGADO - ACTIVO
23336_CPOLEAGA6,23336,1159969.55,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23335_CPGODELLA237,23335,285257.32,ENVOLVENTE,2023,4,ENTREGADO - INACTIVO
23334_CPPICODEARTILLEROS174,23334,257898.29,ENVOLVENTE,2023,8,CONTRATADO
23332_CPCONSULADODEBILBAO29,23332,872780.20,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23331_CPALCALDESAINZDEBARANDA19,23331,600992.88,ENVOLVENTE,2023,11,NO ADJUDICADO
23330_CPMARIANAPINEDA22,23330,566389.22,ENVOLVENTE,2023,2,EN ESTUDIO
23329_CPOIZ11,23329,107984.72,FACHADA,2023,3,ENTREGADO - ACTIVO
23328_CPDEBARROA2,23328,43345.28,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23326_JUMIN,23326,981885.93,FACHADA,2023,2,EN ESTUDIO
23325_CPISLADEFUERTEVENTURA6,23325,429850.64,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23322_CPMORENONIETO16,23322,433385.57,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23321_CPKARLMARX5,23321,419436.31,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23319_CPSERRANO91,23319,242391.61,FACHADA,2023,3,ENTREGADO - ACTIVO
23318_CPPLAZADECORCUBIÓN6,23318,431513.07,ENVOLVENTE,2023,2,EN ESTUDIO
23316_CPCRUZVERDE12,23316,728636.44,REHABILITACION,2023,3,ENTREGADO - ACTIVO
23315_CPRAFAELBARCO2,23315,139333.02,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23313_CPELBOTXO7,23313,314530.22,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23312_FUNDACIONFAUSTAELORZ,23312,171173.84,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23311_CPCLAUDIOCOELLO78,23311,1211852.63,FACHADA,2023,3,ENTREGADO - ACTIVO
23310_CPSANTAVIRGILIA9-11,23310,2359783.10,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23309_CPACACIASII,23309,1968364.09,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23308_CATELLAWE-02SPAINSL,23308,263665.72,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23307_CPVICTORHUGO1,23307,419972.56,FACHADA,2023,3,ENTREGADO - ACTIVO
23305_CPSERRANO114,23305,87710.92,FACHADA,2023,3,ENTREGADO - ACTIVO
23304_CPCOLEGIATA11,23304,417789.54,REHABILITACION,2023,3,ENTREGADO - ACTIVO
23302_CPALAMEDALASLLANAS17,23302,145578.80,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23298_BANCOSANTANDER,23298,349445.37,FACHADA,2023,7,PROCESO CONTRATACION
23295_CPNAZARET2,23295,516919.62,ENVOLVENTE,2023,11,NO ADJUDICADO
23294_CPSOLLUBE8DERIO,23294,58624.91,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23293_CPTROBIKA13,23293,163203.14,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23291_CPREGALESKALEA19,23291,61882.22,FACHADA,2023,3,ENTREGADO - ACTIVO
23288_CPMIGUELSERVET6,23288,203417.50,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23287_CPHURTADOAMEZAGA4,23287,1032426.49,REHABILITACION,2023,3,ENTREGADO - ACTIVO
23286_CPJUANBRAVO69,23286,193105.16,FACHADA,2023,3,ENTREGADO - ACTIVO
23285_CPCONDESADECHINCHÓN11ESC6,23285,291947.17,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23284_CPCONDESADECHINCHÓN11ESC5,23284,291947.17,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23283_CPCONDESADECHINCHÓN11ESC4,23283,291947.17,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23282_CPCONDESADECHINCHÓN11ESC3,23282,291947.17,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23281_CPCONDESADECHINCHÓN11ESC2,23281,291947.17,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23280_CPCONDESADECHINCHÓN11ESC1,23280,291947.17,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23279_CPDELPINTORANTONIOSAURA14PINTORLUCIOMUÑOZ21AL27,23279,552782.66,REHABILITACION,2023,3,ENTREGADO - ACTIVO
23277_EKATERINAROGOVA,23277,7373158.18,REHABILITACION,2023,3,ENTREGADO - ACTIVO
23275_CPCARDENALHERRERAORIA6,23275,114358.07,ENVOLVENTE,2023,11,NO ADJUDICADO
23274_WHITEDEKELMORE,23274,2429793.70,REHABILITACION,2023,3,ENTREGADO - ACTIVO
23273_HERMANDADDELAESPERANZADETRIANA,23273,318979.94,PATRIMONIO,2023,11,NO ADJUDICADO
23272_CPSANQUINTIN8,23272,347753.79,REHABILITACION,2023,5,NEGOCIANDO
23271_CPALICUN4,23271,618879.21,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23269_CPCUEVASDEALMANZORA151,23269,179837.30,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23267_VITRUVIOREALESTATESOCIMISA,23267,7319474.59,REHABILITACION,2023,3,ENTREGADO - ACTIVO
23266_DIÓCESISDEALCALÁDEHENARES,23266,485701.06,PATRIMONIO,2023,4,ENTREGADO - INACTIVO
23265_CPMANUELSILVELA20,23265,220113.29,FACHADA,2023,3,ENTREGADO - ACTIVO
23264_CPTELLERIA1,23264,663811.83,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23263_CPBINGENANTONFERRERO1,23263,338208.98,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23262_CPORIXE2,23262,1114646.78,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23261_CPGRANVIA70,23261,103898.30,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23260_CPDIEGOMAZKIARAN9,23260,584156.83,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23259_CPMAGDALENABAJERA468,23259,469689.15,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23258_CPFIKA13,23258,596909.86,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23256_CPANTONIOTOLEDANO20,23256,552711.84,ENVOLVENTE,2023,1,PENDIENTE ASIGNACION
23255_CPVELEZRUBIO191,23255,626676.37,ENVOLVENTE,2023,8,CONTRATADO
23254_REATILCOMPANY2021SLU,23254,59955.70,FACHADA,2023,4,ENTREGADO - INACTIVO
23253_ACTIVIDADESHOTELERASSANTATERESASL,23253,1248027.30,REHABILITACION,2023,3,ENTREGADO - ACTIVO
23252_CPGENERALRICARDOS69,23252,364988.04,ENVOLVENTE,2023,11,NO ADJUDICADO
23251_CPESTACION15,23251,1551048.83,ENVOLVENTE,2023,10,NO HACEN OBRA
23250_CPMALLORCA6-8,23250,1003622.83,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23249_CPECUADOR16,23249,650740.90,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23248_ALVEARCABRERASL,23248,1444230.00,REHABILITACION,2023,3,ENTREGADO - ACTIVO
23247_CPVILLAMANIN37,23247,353124.08,ENVOLVENTE,2023,11,NO ADJUDICADO
23241_PROPIEDAD,23241,1410714.18,REHABILITACION,2023,11,NO ADJUDICADO
23240_CPARROYOMEDIALEGUA27,23240,611714.96,ENVOLVENTE,2023,8,CONTRATADO
23236_FUNDACIONDIVINOSALVADOR,23236,198606.27,PATRIMONIO,2023,3,ENTREGADO - ACTIVO
23234_OBISPADODEALCALÁ,23234,482704.00,ENVOLVENTE,2023,4,ENTREGADO - INACTIVO
23233_CPVIRGENDEARANZAZU7,23233,72798.81,REHABILITACION,2023,3,ENTREGADO - ACTIVO
23230_HOTELSANTIAGODEALFAMA,23230,8122640.17,REHABILITACION,2023,3,ENTREGADO - ACTIVO
23229_CPRIBERADELMANZANARES1,23229,1717795.18,ENVOLVENTE,2023,8,CONTRATADO
23227_CABILDODELACATEDRAL,23227,99725.26,PATRIMONIO,2023,3,ENTREGADO - ACTIVO
23226_CABILDODELACATEDRAL,23226,43491.33,PATRIMONIO,2023,3,ENTREGADO - ACTIVO
23225_CPSEGUNDA16CIUDADPEGASO,23225,333781.42,ENVOLVENTE,2023,4,ENTREGADO - INACTIVO
23224_CPBERRUGUETE41,23224,432874.69,ENVOLVENTE,2023,11,NO ADJUDICADO
23223_GRUPOIMPAMAR,23223,1336424.03,REHABILITACION,2023,9,DESCARTADO
23222_CPMANUELBECERRA16,23222,164752.36,FACHADA,2023,8,CONTRATADO
23221_CPESPAÑA10,23221,533369.86,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23218_CPALHAURÍN4,23218,157924.05,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23217_CPMASUSTEGUI9,23217,412168.45,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23215_ACTIVIDADESHOTELERASSANALBERTOSL,23215,2070079.93,REHABILITACION,2023,3,ENTREGADO - ACTIVO
23214_PROPIEDAD,23214,172642.78,FACHADA,2023,8,CONTRATADO
23213_CPTORRESDELAALAMEDA8,23213,337350.00,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23212_CPTORRESDELAALAMEDA6,23212,329804.94,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23211_AYUNTAMIENTODEDOSHERMANAS,23211,10792.77,PATRIMONIO,2023,8,CONTRATADO
23210_CPHORTALEZA7,23210,219868.99,FACHADA,2023,3,ENTREGADO - ACTIVO
23209_FUNDACIÓNIGLESIACOLEGIALDIVINOPASTOR,23209,13052.33,PATRIMONIO,2023,8,CONTRATADO
23207_UNIVERSIDADESCUNI,23207,588828.15,REHABILITACION,2023,3,ENTREGADO - ACTIVO
23203_CONGREGACIÓNDELSANTÍSIMOREDENTOR,23203,7177386.10,REHABILITACION,2023,3,ENTREGADO - ACTIVO
23202_ANAMARÍASOLSL,23202,185875.18,FACHADA,2023,3,ENTREGADO - ACTIVO
23201_CPLEIOATELLERÍA4,23201,443960.12,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23197_CPSANTODOMINGO5,23197,198514.84,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
"23196
_CPMENDEZPELAYO45",23196,287704.93,FACHADA,2023,3,ENTREGADO - ACTIVO
23195_MAYACAPITAL,23195,2236345.42,REHABILITACION,2023,11,NO ADJUDICADO
23193_INFINITMANAGENTLDA,23193,2382203.71,REHABILITACION,2023,11,NO ADJUDICADO
23191_CPGUADALAJARA2AL10YPLAZAVALLADOLID45Y6,23191,3375490.60,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23190_COLIVINNSPAINBUSINESSSL,23190,1931911.61,REHABILITACION,2023,3,ENTREGADO - ACTIVO
23189_ALBERGUEJUVENIL,23189,379808.87,REHABILITACION,2023,4,ENTREGADO - INACTIVO
23188_CPARTEKALE29,23188,269815.57,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23187_CPPRINCIPEDEVERGARA17,23187,263323.46,FACHADA,2023,11,NO ADJUDICADO
23186_CASANUEVOCLUBSA,23186,139921.38,REHABILITACION,2023,8,CONTRATADO
23185_CPETXANOTXIKIOTAEGUI22,23185,362997.21,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23184_CPLEKEITIO4,23184,365974.85,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23182_CPVELEZBLANCO36,23182,475863.01,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23181_CPCUEVASDEALMANZORA28MANOTERAS,23181,564919.17,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23180_CPSOMONTIN24MANOTERAS,23180,481522.45,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23179_CPLUVA3,23179,571138.13,REHABILITACION,2023,8,CONTRATADO
23178_CPSANTAFE1,23178,197475.53,ENVOLVENTE,2023,11,NO ADJUDICADO
23177_CPDOCTORFLEMING6,23177,156514.36,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
