OP_NOMBRE,TIPOLOGIA,ESTADO_SEGUIMIENTO,FECHA_RECOGIDA_REAL,fecha_RRR,Importe_MAX
23247_CPVILLAMANIN37,ENVOLVENTE,11 NO ADJUDICADO,,2023-09-04 11:01,"€353124,08"
23248_ALVEARCABRERASL,REHABILITACION,03 ENTREGADO - ACTIVO,,2023-09-04 13:47,"€1444230,00"
23252_CPGENERALRICARDOS69,ENVOLVENTE,11 NO ADJUDICADO,,2023-09-05 13:19,"€364988,04"
23253_ACTIVIDADESHOTELERASSANTATERESASL,REHABILITACION,02 EN ESTUDIO,,2023-09-06 07:43,"€1248027,30"
23254_REATILCOMPANY2021SLU,FACHADA,04 ENTREGADO - INACTIVO,,2023-09-06 18:28,"€59955,70"
23255_CPVELEZRUBIO191,ENVOLVENTE,08 CONTRATADO,,2023-09-07 06:27,"€626676,37"
23256_CPANTONIOTOLEDANO20,ENVOLVENTE,03 ENTREGADO - ACTIVO,,2023-09-07 07:03,"€552711,84"
23262_CPORIXE2,ENVOLVENTE,03 ENTREGADO - ACTIVO,,2023-09-07 14:34,"€1114646,78"
23263_CPBINGENANTONFERRERO1,ENVOLVENTE,03 ENTREGADO - ACTIVO,,2023-09-07 14:40,"€338208,98"
23264_CPTELLERIA1,ENVOLVENTE,03 ENTREGADO - ACTIVO,,2023-09-07 14:52,"€663811,83"
23267_VITRUVIOREALESTATESOCIMISA,REHABILITACION,03 ENTREGADO - ACTIVO,,2023-09-11 07:09,"€7319474,59"
23269_CPCUEVASDEALMANZORA151,ENVOLVENTE,03 ENTREGADO - ACTIVO,,2023-09-12 11:59,"€179837,30"
23271_CPALICUN4,ENVOLVENTE,03 ENTREGADO - ACTIVO,,2023-09-12 14:28,"€618879,21"
23274_WHITEDEKELMORE,REHABILITACION,03 ENTREGADO - ACTIVO,24/7/2023,2023-07-24 00:00,"€2429793,70"
23275_CPCARDENALHERRERAORIA6,ENVOLVENTE,11 NO ADJUDICADO,,2023-09-14 06:45,"€114358,07"
23277_EKATERINAROGOVA,REHABILITACION,03 ENTREGADO - ACTIVO,24/7/2023,2023-07-24 00:00,"€7373158,18"
23279_CPDELPINTORANTONIOSAURA14PINTORLUCIOMUÑOZ21AL27,REHABILITACION,03 ENTREGADO - ACTIVO,24/7/2023,2023-07-24 00:00,"€552782,66"
23286_CPJUANBRAVO69,FACHADA,03 ENTREGADO - ACTIVO,20/9/2023,2023-09-20 00:00,"€193105,16"
23295_CPNAZARET2,ENVOLVENTE,11 NO ADJUDICADO,,2023-09-29 07:31,"€516919,62"
23302_CPALAMEDALASLLANAS17,ENVOLVENTE,03 ENTREGADO - ACTIVO,,2023-10-06 11:41,"€145578,80"
22195_CPARROYOBELINCOSO18-20,ENVOLVENTE,03 ENTREGADO - ACTIVO,29/7/2022,2022-07-29 00:00,"€261758,01"
19317_CPBARRIOAPERRIBAL57,ENVOLVENTE,11 NO ADJUDICADO,28/11/2019,2019-11-28 00:00,"€186950,20"
22010_CPCAFETO5,ENVOLVENTE,04 ENTREGADO - INACTIVO,14/1/2022,2022-01-14 00:00,"€729850,00"
21158_CPBUITRAGODELOZOYA8A12,ENVOLVENTE,04 ENTREGADO - INACTIVO,4/6/2021,2021-06-04 00:00,"€39395,58"
20154_INDITEX,REHABILITACION,04 ENTREGADO - INACTIVO,19/6/2020,2020-06-19 00:00,"€75175,00"
22095_CPLUISMITJANS20,ENVOLVENTE,03 ENTREGADO - ACTIVO,29/3/2022,2022-03-29 00:00,"€339817,42"
20069_CPCASTELLANA246,ENVOLVENTE,04 ENTREGADO - INACTIVO,7/2/2020,2020-02-07 00:00,"€112237,09"
20016_AGUIRRENEWMAN,PATRIMONIO,04 ENTREGADO - INACTIVO,17/2/2020,2020-02-17 00:00,"€35650,00"
19227_CPSOLANDATA1,ENVOLVENTE,04 ENTREGADO - INACTIVO,10/9/2019,2019-09-10 00:00,"€146462,80"
23034_CPPELAYO30,REHABILITACION,11 NO ADJUDICADO,2/2/2023,2023-02-02 00:00,"€58417,14"
19267_CPCAMINODELOSHOYOS2,ENVOLVENTE,04 ENTREGADO - INACTIVO,4/10/2019,2019-10-04 00:00,"€356038,02"
23050_CPCÁDIZ5,ENVOLVENTE,11 NO ADJUDICADO,24/1/2023,2023-01-24 00:00,"€365914,53"
22091_ALBIONREALESTATEMANAGEMENT,FACHADA,03 ENTREGADO - ACTIVO,22/2/2022,2022-02-22 00:00,"€285587,50"
19133_CPHONDURAS2-4,FACHADA,04 ENTREGADO - INACTIVO,20/5/2019,2019-05-20 00:00,"€193790,24"
